Hugo_Symbol	Entrez_Gene_Id	01CO001	01CO005	01CO006	01CO008	01CO013	01CO014	01CO015	01CO019	01CO022	05CO002	05CO003	05CO005	05CO006	05CO007	05CO011	05CO014	05CO015	05CO020	05CO026	05CO028	05CO029	05CO032	05CO033	05CO034	05CO035	05CO037	05CO039	05CO041	05CO044	05CO045	05CO047	05CO048	05CO049	05CO050	05CO053	05CO054	05CO055	06CO001	06CO002	09CO005	09CO006	09CO008	09CO011	09CO013	09CO014	09CO015	09CO018	09CO019	09CO022	11CO005	11CO007	11CO008	11CO010	11CO018	11CO019	11CO020	11CO021	11CO022	11CO027	11CO030	11CO031	11CO032	11CO033	11CO036	11CO037	11CO039	11CO042	11CO043	11CO044	11CO045	11CO047	11CO048	11CO051	11CO052	11CO053	11CO054	11CO057	11CO058	11CO059	11CO060	11CO061	11CO062	11CO070	11CO072	11CO077	11CO079	14CO002	14CO003	14CO005	15CO001	15CO002	16CO002	16CO003	16CO006	16CO011	16CO012	20CO001	20CO003	20CO004	20CO007	21CO006	21CO007	22CO004	22CO006	24CO005	27CO004
GAA	2548	8.5812	10.8978	8.0444	8.4136	10.0941	8.0498	7.7211	9.1215	8.3038	8.9129	10.3376	8.5469	9.7748	9.8329	8.8826	8.4094	9.8345	9.29	8.8642	7.3309	7.8392	8.1033	7.5774	8.9972	10.5689	10.6546	8.8297	9.6366	9.224	8.5584	9.5868	8.3354	9.4157	8.5925	7.8329	9.5392	8.2668	9.3641	8.543	8.2192	7.6653	9.1923	8.8948	8.7177	8.2668	9.3837	7.8517	8.3966	8.0112	10.0566	8.6036	8.4051	10.4625	10.4666	10.3376	9.2761	9.6202	9.2992	8.5699	9.9322	7.2761	8.8857	9.9425	9.1241	9.6582	8.9858	10.2372	9.9498	10.0593	9.2432	9.8533	9.6528	9.2574	8.7039	9.3837	9.0715	10.1124	8.697	9.3902	8.6618	6.7944	9.9189	9.3641	9.7599	9.1189	9.2597	9.3015	9.3794	10.4325	10.5831	8.4676	8.7347	9.8361	9.4838	8.7074	8.0928	8.8887	9.1137	10.3945	9.3399	8.3174	7.6865	7.5925	9.1674	8.3487	8.9129
GAB1	2549	9.9801	9.8486	10.3783	10.9039	8.9715	8.7781	9.6724	9.8626	9.1849	10.4168	9.7482	9.2854	9.6546	8.2668	9.5118	9.8688	9.1447	9.6812	9.1033	9.7616	9.7797	9.0334	9.3987	9.6384	10.1774	10.137	9.3794	8.0715	8.3794	9.1997	10.1046	9.236	10.2348	8.7944	8.3837	9.4818	9.6812	9.5294	9.5906	9.5736	10.0512	10.5746	9.8455	9.3923	9.3966	8.8826	8.7944	9.4798	9.6457	9.5469	8.4717	8.7616	10.2574	9.6257	9.8765	9.6036	9.0224	9.6184	8.5275	9.8887	8.6366	9.0661	9.1421	9.0526	9.8218	8.9915	9.7228	9.7895	9.1972	9.2784	9.5255	9.5527	9.014	9.4838	10.0014	9.0848	9.7665	9.7465	9.1033	9.7846	8.8424	9.1849	9.0768	8.9337	9.8948	10.0471	9.3966	9.3354	8.8009	9.5962	9.2288	8.8826	9.6987	9.3465	9.4553	8.8265	9.7279	9.2831	9.1472	9.7415	8.9189	9.3465	10.0993	9.2597	8.9972	9.1189
GAB2	9846	9.4115	8.8918	9.4136	9.5488	10.1824	8.2432	8.7142	9.2946	8.4553	9.4778	10.032	8.1699	8.9484	8.7781	9.2143	8.1447	8.6475	9.4115	8.4998	8.8517	8.6865	7.8704	9.2761	9.2046	9.5906	9.8455	9.66	8.1497	9.7814	8.7977	10.0042	9.2503	8.8234	9.1624	8.5392	8.9513	8.5196	9.6092	9.1774	9.7895	8.6366	9.0821	9.5038	10.2396	10.3542	9.3399	8.9629	9.5469	9.1319	9.6564	9.014	9.0168	9.8471	9.6795	10.3869	9.3354	10.421	9.7482	8.3129	9.3151	8.4136	9.8471	9.4512	8.6865	9.0389	8.5584	9.7879	10.0112	9.5216	9.66	8.9801	10.4727	9.6528	9.1548	9.3794	9.2336	9.9248	9.2738	8.9454	9.9887	8.6036	9.4635	9.5078	9.6184	9.5314	10.1059	8.2479	9.3487	8.5196	9.5981	9.5887	8.7313	9.2761	8.9658	9.9024	8.7582	10.2131	9.5078	9.3923	9.2408	9.5333	10.2192	9.2192	9.4858	7.8074	9.1749
GAB3	139716	6.8329	5	7.7549	6.6865	6.9887	6.5699	6.0661	5.6439	5.2854	7.8138	6.8948	6.0661	6.5699	7.1997	5.7814	6.4919	7	7.2192	6.5546	5.585	6.3399	5.5236	7.1189	6.7549	7.0875	6.2668	6.1699	6.9069	5.8329	5.8329	4.7004	6.2854	7.4429	5.585	5.8074	6.5236	6.7549	5.9773	7	6.5236	6.4094	6.6439	6.5546	6.1497	7.4757	6.9773	6.6294	5.585	6.4263	7.2384	6	5.8074	6.7549	6.9542	7.0334	7	7.4429	6.9887	5.3576	6.6439	6.5546	6.585	7.7142	7.5699	6.9425	5.6439	6.6865	6.4594	7.4179	7.0768	7	7.8765	7.4009	7.7616	6.7814	7.4919	6.9773	7.1189	7.4676	6.8455	6.4757	7.0661	7.5157	6.9189	7.0768	5.9307	6.0875	6.7814	6.1497	6.4094	6.8948	6.0444	6.9658	6.8948	6.9887	6.3399	7.585	7.6294	5.0875	6.5546	6.7682	6.3038	6.1085	7.9715	6.8948	6.6724
GABARAP	11337	12.2668	11.9816	12.2297	11.6493	11.8684	12.4192	12.0851	11.2318	11.933	11.6613	11.4522	11.7871	12.3894	12.0984	11.633	10.8424	12.1898	11.3393	12.2201	12.7814	12.1917	13.0773	12.6935	11.9819	11.5812	11.9177	12.2282	11.2912	11.5684	12.2461	10.7524	12.5051	11.3869	12.2033	12.4656	11.8615	12.4898	11.4471	12.1347	12.0865	12.4906	11.5245	11.8619	11.5221	11.9851	11.9989	12.4157	12.0185	11.819	12.1861	11.9629	12.5971	11.7326	11.817	11.9263	11.6724	11.3404	11.3998	12.0597	11.9926	12.4853	11.7756	12.0778	12.7303	11.9344	12.0389	11.3276	11.2825	11.279	11.1674	11.2726	11.6609	11.4009	12.0987	11.5191	11.5328	11.8361	11.73	12.1183	12.2024	12.5925	11.6073	12.2303	11.5078	12.0795	11.3515	11.6515	11.6812	11.9344	11.9538	11.8872	12.1302	12.3608	11.5372	12.1176	12.5904	12.3507	12.9443	10.6138	11.6497	11.8301	12.0658	11.6653	12.5699	13.5919	11.9099
GABARAPL1	23710	9.7499	8.5353	9.8345	10.0485	8.8948	9.1447	9.5488	9.3015	8.9278	10.5469	9.1319	9.1241	11.0375	10.4808	9.4136	9.4635	10.29	9.42	9.5527	9.5018	9.3641	10.0238	10.8494	10.0768	9.783	10.3509	8.9915	9.0112	9.6742	10.0154	8.3083	10.3587	9.2715	8.3837	9.4635	9.4615	10.0084	9.7381	10.7013	8.9218	9.4136	9.4574	9.2264	9.3576	10.3253	9.6184	9.6707	10.0403	9.9263	9.9084	9.8439	11.117	9.8313	9.733	10.2155	10.0196	10.0701	9.5488	9.7616	9.69	10.3923	10.2923	9.9352	9.5488	9.8041	10.3663	9.0084	8.6294	9.545	9.6618	9.2432	10.1202	9.809	10.0498	9.5999	9.6795	10.0389	9.6653	9.8265	8.8265	10.2923	9.3902	9.5469	9.2761	10.3641	9.0056	8.96	9.098	9.7993	9.9556	9.4242	9.4635	9.9915	10.0168	9.5236	10.2396	10.544	10.9462	8.3174	9.0417	10.3264	9.1923	9.6294	10.744	11.0553	9.733
GABARAPL2	11345	11.0028	10.4105	10.1948	9.9352	9.8361	10.8106	10.8673	10.1383	10.3231	10.1997	9.9858	10.4888	10.9993	10.6555	9.8376	10.1176	10.3652	10.3072	9.5661	10.3794	11.1118	10.8162	10.8626	10.8337	10.7271	10.3454	10.4419	9.69	9.8424	10.7168	9.8439	10.4818	9.9858	10.3597	10.5812	10.1189	11.526	10.623	11.0908	10.1911	10.3443	10.3718	10.1874	9.9672	10.5038	10.4126	10.3117	10.7624	10.6742	10.8194	11.0382	11.3247	10.7288	9.9498	10.3253	10.5078	10.2538	10.0279	10.9586	10.6591	11.0674	10.8194	10.3869	10.6439	10.8978	10.9607	10.4828	10.1396	10.2336	9.9873	9.9278	10.3509	9.9293	10.0901	10.0375	10.813	10.014	10.2336	10.8626	10.2204	11.1293	10.1472	10.5118	10.445	10.8353	10.4979	10.7065	9.7846	10.7532	10.0014	9.973	10.1699	10.7985	9.676	10.7879	10.5632	10.3276	10.9388	10.1007	10.6411	10.8872	10.0056	10.6528	10.7846	11.1849	10.2167
GABBR1	2550	7.4179	6.6147	8.2854	8.2992	6.0661	6.8455	7.6724	6.5236	8.6582	9.6636	9.1724	5.9542	9.2336	9.3354	9.8595	7.4838	8.3837	8.7814	9.3576	5.7279	5.8826	5.9542	7.8009	9.0417	7.858	9.2046	9.1649	8.0553	9.7682	7.7814	6.7682	8.5925	7.1085	8.5962	7.2574	8.1137	6.9189	6.3038	9.3061	9.5275	6.3576	8.2336	8.9337	9.3837	9.8994	6.5546	6.7279	7.983	7.5078	7.9129	7.7682	7.4094	7.7482	8.7108	9.1749	9.9873	9.6636	7.2192	5.7814	7.8138	6.7004	8.0661	8.4998	8.4136	7.8138	6.5999	8.2992	10.8439	10.3859	9.9352	9.0196	8.3264	8.8704	8.2854	8.9009	10.676	10.1447	8.3707	9.4305	8.1749	5.7279	7.9307	7.4512	8.3038	9.6564	9.6221	7.6073	8.8826	7.1799	9.9454	7.5314	9.1215	7.2854	9.1111	8.1344	7.9658	9.7432	7.9366	6.4594	7	7.7142	6.585	7.098	8.7781	6.4594	9.7074
GABPA	2551	10.5362	10.4336	10.7254	10.6211	10.3387	10.403	10.2384	10.0375	10.1447	10.6055	10.2773	10.9816	10.3608	9.8057	10.2808	10.2432	10.5718	9.7715	9.9144	11.3259	11.0451	11.6119	11.0532	10.4979	10.5343	10.1085	10.2216	10.3859	9.6475	10.2033	9.6546	10.4798	10.2348	9.4429	10.3095	9.375	10.4073	10.1523	10.9174	10.5392	11.1805	10.1408	10.3554	9.3576	9.9687	10.1319	10.5098	10.6357	9.4325	9.9396	11.1293	10.6555	9.9773	10.0634	9.8918	10.2831	9.5755	9.3332	10.7607	10.3685	11.0519	10.0362	10.4635	10.3106	10.7591	10.6812	9.7632	9.1267	9.6055	9.5943	9.8025	9.7381	10.196	10.3815	10.4929	9.9542	10.2467	10.4147	11.1504	10.3174	11.557	10.2264	10.7879	10.3332	10.4686	10.8688	10.623	10.0728	10.2192	10.1799	9.8704	10.1176	10.8178	10.0154	10.1306	10.3729	10.9009	10.7665	10.8392	10.6165	10.6751	10.722	10.5078	10.8258	10.7356	10.7245
GABPB1	2553	9.3815	8.6724	9.0196	9.1674	8.7142	9.2216	9.2288	9.0444	9.4346	9.0471	9.1774	9.5699	9.224	9.2668	8.9915	9.0848	9.5275	9.4305	9.3083	9.9816	9.5736	10.1059	9.6987	9.2668	8.5157	9.1085	9.4512	9.4409	9.0028	9.5622	9.0168	9.3015	8.7977	9.5962	9.3554	8.817	9.2923	9.1923	9.4073	9.1137	9.5058	9.1649	8.8106	9.3376	9.1111	9.058	9.9744	9.1898	9.7912	8.8297	10.137	10	8.7814	8.7448	8.6221	8.7381	9.6092	9.6707	9.9715	8.7879	9.9396	9.2621	9.2288	9.375	9.1344	9.6036	8.4635	9.0498	9.1774	9.1059	8.8074	8.4136	9.2574	9.42	9.1497	8.9366	9.0928	9.0715	9.4717	9.1699	10.1137	9.2644	9.1267	9.2408	9.2384	8.8734	9.2143	8.69	9.2021	8.9944	9.5058	9.1085	8.7781	9.3061	8.7549	9.7262	9.1319	9.4615	8.4429	9.2715	9.7245	9.1007	9.4656	9.3354	9.7262	9.375
GABPB1-AS1	100129387	6.858	6.4594	8.1948	7.5699	6.585	7.1799	7.4263	6.8202	8.0224	8.3576	7.1799	7.0768	7.858	6.7142	8.29	6.5392	6.8826	6.7549	6.1699	6.4919	6.9773	6.4429	7	8.0768	7.2574	6.7279	7.2288	7.1085	6.4263	7.4094	9.1447	6.7682	7.6294	7.1396	7.6294	7.7415	7.4594	8.3264	8.3966	8.4553	7.2288	6.8948	6.5392	8.1344	7.2854	6.8826	6.8948	6.7415	7.6511	6.858	6.7682	7.7211	6.7944	7.3487	6.9773	6.3399	8.0553	6.6439	7.2946	6.1699	6.8704	6.4429	6.5546	6.9307	6.9658	7.6795	6.6147	8.7846	6.7682	7.4919	8.2046	6.8202	7.1497	6.5078	8.6618	7.4757	8.5275	7.1085	7.5236	8	6.6865	6.3038	7.7074	7.5314	7.5314	8.7245	6.7682	7.9773	7.3129	7.6366	7.1497	8.8918	6.4263	7.4179	7.3038	7.1997	7.1189	6.3219	8.1548	8.4471	7.9366	7.4512	6.585	7.1189	6.5999	7.96
