Hugo_Symbol	Entrez_Gene_Id	01CO001	01CO005	01CO006	01CO008	01CO013	01CO014	01CO015	01CO019	01CO022	05CO002	05CO003	05CO005	05CO006	05CO007	05CO011	05CO014	05CO015	05CO020	05CO026	05CO028	05CO029	05CO032	05CO033	05CO034	05CO035	05CO037	05CO039	05CO041	05CO044	05CO045	05CO047	05CO048	05CO049	05CO050	05CO053	05CO054	05CO055	06CO001	06CO002	09CO005	09CO006	09CO008	09CO011	09CO013	09CO014	09CO015	09CO018	09CO019	09CO022	11CO005	11CO007	11CO008	11CO010	11CO018	11CO019	11CO020	11CO021	11CO022	11CO027	11CO030	11CO031	11CO032	11CO033	11CO036	11CO037	11CO039	11CO042	11CO043	11CO044	11CO045	11CO047	11CO048	11CO051	11CO052	11CO053	11CO054	11CO057	11CO058	11CO059	11CO060	11CO061	11CO062	11CO070	11CO072	11CO077	11CO079	14CO002	14CO003	14CO005	15CO001	15CO002	16CO002	16CO003	16CO006	16CO011	16CO012	20CO001	20CO003	20CO004	20CO007	21CO006	21CO007	22CO004	22CO006	24CO005	27CO004
A1CF	29974	10.1984	10.1586	9.2119	10.7322	9.716	9.5177	9.6275	9.5736	4.858	9.2432	8.9159	9.9858	5.7004	6.2854	10.4367	10.098	9.2923	9.9337	10.1447	9.7582	9.3663	8.4471	9.3902	10.3848	10.7004	5.9773	10.1972	6.3923	4.0875	9.098	10.1098	9.1749	10.4522	8.2715	10.2252	9.1215	9.7499	10.2058	9.7665	9.7448	10.6239	10.9189	9.6092	9.1649	9.8138	10.3219	9.3772	10.0196	9.4284	10.1383	7.9009	9.8025	9.633	6.3399	8.0056	9.4676	8.6795	9.9204	10.3287	10.3219	9.7682	9.5196	8.7515	7.1497	10.1215	10.6239	9.5353	9.0553	6	7.4512	8.6689	8.9039	7.2574	8.8887	9.9218	10.1812	9.2527	10.1699	7.1699	7.6511	8.5699	9.4757	7.375	8.9099	9.7599	9.9801	10.2715	8.4009	10.4828	9.1997	9.1319	9.7748	9.9159	9.6129	10.062	9.6184	8.5078	2.585	10.1408	9.0688	9.2336	10.0768	10.9293	9.2432	8.6546	9.8025
A2M	2	13.8117	12.6434	15.004	13.9284	12.9963	11.87	13.0274	12.5637	11.6234	15.3414	12.614	11.7993	13.1649	13.0539	13.2824	13.3714	13.6875	13.9425	13.1752	12.9518	13.3498	11.952	13.9088	13.8	14.1044	14.0064	11.9833	11.8384	11.7503	13.5216	12.3509	13.7038	13.7429	11.227	11.3832	11.8715	13.0674	12.8508	13.5683	13.365	12.7035	13.4684	13.3961	12.4278	13.341	12.3961	11.9564	11.2842	13.3208	13.4099	11.2877	12.103	12.7115	13.3368	13.4654	13.0369	13.3288	12.6161	11.3197	12.9399	11.8537	12.1405	12.917	12.2273	12.7482	11.3815	12.7705	12.4179	12.8872	13.5147	12.9401	14.2781	13.2653	13.8356	13.6199	12.4551	13.5846	13.965	12.4569	12.3783	12.057	12.7551	13.0007	12.752	13.0384	12.5127	11.7528	12.5083	12.0289	13.7785	14.3094	13.5882	13.9128	13.5352	14.259	11.6234	14.2033	13.7171	11.3078	12.7292	12.9123	13.4762	12.6131	14.262	13.025	13.1139
A4GALT	53947	7.0224	6.7279	6.858	4.9542	6.3576	6.5392	6.7004	5.5546	4.3219	8.1948	6.8704	6.8329	6.5699	8.5507	6.9307	6.7549	7.5078	7.1396	6.5546	5.0444	5.4919	6.6865	7.9009	7.7211	6.7004	7.5774	5.0875	6.4757	7.585	7.1293	5.8329	7.1085	6.7004	5.4263	5.9773	5.1293	7.1799	6.7814	8.1137	7.1997	6.1699	6.1085	5.7814	6.3923	6.9773	7.2479	6.7415	7.0768	6.4429	7.7347	6.5546	7.9307	7.4179	7.6366	7.1189	6.6865	6.8074	6.1699	6.6865	7.0444	5.9069	6.9425	7.3038	6.8455	6.8074	6.4594	6.7682	7.0553	6.9307	7.8455	7.3038	8.29	7.2946	6.9307	6.4594	7.1997	7.1085	6.6439	7.7211	6.0875	7.0334	7.6439	7.9189	6.9887	7.7415	6.4429	5.1699	6.3038	7.4757	6.2668	7.2095	7.6073	7.6724	6.9658	6.8202	6.8455	7.9009	7.3309	5.6147	5.1699	7.6073	6.4594	5.5236	7.5546	8.0498	7.9069
AAAS	8086	9.4115	8.9972	9.7056	9.1497	9.6202	9.0224	9.7748	9.4998	10.3421	9.4491	9.6018	9.9816	9.9114	9.6493	9.8376	9.8994	9.6987	9.4263	10.5536	10.1176	9.3576	9.7177	9.7022	10.1098	9.4676	9.9396	9.3837	10.0661	9.6546	10.1674	9.8486	9.8154	9.7879	10.2877	9.8826	10.0238	9.5236	9.2877	9.3061	9.716	9.5038	9.6689	9.8502	9.7022	9.2432	9.5157	9.0028	9.0444	9.6055	9.1699	8.9069	10.0741	9.3421	9.3576	9.6421	9.8408	9.4574	9.1241	9.1674	9.4696	9.1997	9.2021	9.0028	9.8154	9.1396	8.8265	9.6564	9.6439	9.8826	9.8392	9.8154	9.4594	10.242	10.3837	9.8933	9.5058	9.6184	9.7245	8.9858	9.1523	9.8281	9.9039	9.5488	9.5999	9.4615	9.3287	10.0458	9.7499	9.3837	10.0993	9.9366	9.7074	9.6475	10.3095	9.6312	9.9972	9.2503	9.5196	9.5793	9.5353	9.4778	9.6018	9.3332	9.3264	10.2228	9.7582
AACS	65985	9.7432	9.9084	9.1997	8.9425	9.2738	9.6653	9	9.1111	9.5353	8.7549	9.8642	9.3923	9.8765	9.3487	8.9858	9.1898	8.8704	9.6294	10.2969	9.3923	8.5236	9.4998	9.3015	9.7091	9.6812	10.1447	9.9944	9.716	9.3945	9.4157	9.8533	9.3242	9.1948	9.5699	9.5812	9.9263	8.9972	9.3465	8.9307	10.2467	9.3151	9.6528	9.7108	10.3387	9.1699	9.2192	8.8392	9.2503	9.8811	9.3685	9.4325	9.8074	9.3061	10.2491	9.716	9.7682	9.6564	9.7863	9.4346	9.0389	9.4696	9.6707	9.8376	9.4094	9.2527	9.5216	9.4635	9.7039	9.8657	9.2831	9.4898	9.0848	10.0861	9.3576	9.0634	9.0028	9.3509	9.7177	9.1972	9.1599	9.3242	10.5934	9.0279	9.403	8.5469	9.4409	8.8857	9.4838	9.0795	10.3696	9.9233	9.6689	8.9454	9.4676	9.3197	9.783	8.9099	9.098	9.6421	9.6294	8.9248	9.1573	9.2877	8.7039	9.3729	9.2479
AADACP1	201651	4.585	4.7004	5	6.0224	4.1699	4.1699	8.6294	5.3219	3.3219	5.6439	3.7004	6	8.0553	3.1699	3.4594	4	4.4594	3.7004	4.3923	6.8948	5	5.0444	4.2479	6	6.5546	4.7004	6.3399	2.3219	6.7279	5.585	5.1293	4.7549	5	5.0444	6.585	4.2479	4.7004	4.858	5.0875	5.4263	5.6439	6.1293	4.5236	3.1699	4.858	5.3576	5.1293	7.4094	5.4919	4.858	4.9542	7.5236	5.9773	6.0875	7.5157	3	2.585	4.4594	5.6724	3.585	3.4594	4.1699	3.4594	3.4594	5.0444	4.7004	4.585	7.6795	4.8074	4.3219	4	4	2	3.8074	5.4594	7.0334	5.0875	5.2479	4.9542	4.0875	5.0875	4.1699	5	5.9542	6.5699	6.4594	4.5236	5.9307	5.2479	6.585	3.1699	4.3923	4.7004	7.2384	7.7748	6.0444	4.4594	3	6.0224	5.6724	4.8074	5	5	5.5546	3.1699	6.0224
AADAT	51166	8.4635	8.2046	8.4676	7.4179	7.098	9.1215	7.6935	6.9425	9.3729	7.6795	9.0768	9.4998	8.5118	7.9248	7.4512	8.4221	7.4594	5.8329	8.5546	8.7142	6.8202	8.7944	7.2854	6.8074	6.3219	8.4919	8.2095	8.3038	7.9129	7.6221	8.6294	7.1997	8.0928	8.9744	8.4959	8.4009	6.7944	5.2095	8.2095	8.5736	7.5999	8.0279	7.7616	6.4757	7.6935	6.5546	8.4094	7.0444	7.1189	7	8.1085	7.3219	6.6147	6	5.858	7	7.8202	7.6865	7.5699	7.5392	8.3399	6.9069	7.8009	8.4221	8.3354	7.9189	6.7682	8.4136	8.0224	8.1396	6.8826	6.5999	8.1799	8.7039	7.6935	7.4009	8.7347	7.858	7.5774	7.2192	5.7279	8.2992	8.5925	7.7616	7.5546	7.6366	7.7549	6.2854	7.6653	7.9307	7.7211	6.8202	7.3837	8.2668	6.3219	8.0875	8.6582	6.2095	7.2479	7.9307	7.5078	7.6865	7.3663	7.3129	7.0444	7.7682
AAED1	NA	7.6221	7.0768	7.1293	7.7074	5.9069	6.8455	7.3038	6.3576	7.3576	7.4998	6.6294	7.3399	7.5236	7.6795	7.1799	6.2479	7.5774	7.2761	6.9425	7.9715	7.6221	8.8041	8.3531	6.7004	6.9542	7.2095	7.3129	8.0224	7.5236	7.3129	6.3576	7.3923	6.4094	6.9189	7.0224	6.0444	7.3837	7.1898	7.5392	7.3129	7.6511	6.6294	7.0224	7.5546	6.7814	7.1799	7.7814	7.3487	6.9887	7.4757	7.7682	7.6073	6.7682	7.4919	7.1699	7.6073	7.3038	7.2946	7.8265	7.2192	8.3576	8.0661	7.5622	6.7142	6.9189	6.5699	6.4594	7.5236	6.4094	6.7142	6.585	6.858	7.1997	7.6439	6.8826	7.4429	6.7142	6.9307	7.3129	7.1699	7.7415	7.2761	7.3837	6.858	7.4594	7.5699	6.7415	6.9307	7.3663	7	7.4838	6.5999	7.1396	7.098	7.5469	7.9715	7.7279	7.7074	6.1085	6.2668	8.3083	6.2095	6.858	8.0389	8.3399	7.0444
AAGAB	79719	11.2336	10.5362	10.9337	10.7194	10.2252	11.6316	11.1662	11.0396	11.1774	9.9469	10.5324	11.3309	10.7674	10.8895	10.3015	10.4798	11.5479	10.668	10.5962	11.6466	11.6653	12.3487	10.7065	10.8796	9.4858	10.3923	11.0993	10.7764	10.5265	11.4409	11.4419	11.178	10.7764	11.3691	11.9129	10.7871	10.7177	10.7039	10.8281	10.5793	11.6843	10.4231	10.4009	11.163	10.2479	10.6339	11.9462	10.5498	11.0437	10.3399	11.5594	11.3548	9.4998	10.2432	10.3696	10.4878	10.7524	10.6138	11.8134	9.8948	11.7198	10.851	10.8619	10.9744	10.9758	11.0334	9.6511	10.1098	10.1599	10.4409	10.4398	9.9586	10.6555	11.0458	10.5078	10.5613	10.5575	10.3761	10.769	10.6375	11.7202	10.5324	11.1898	10.8218	10.4041	10.1523	11.1618	10.4717	10.5999	10.744	10.69	10.6715	10.3498	10.7389	9.8842	11.4062	11.0914	11.255	10.2288	10.7887	10.8918	10.9159	10.9031	11.1592	11.0566	11.0049
AAK1	22848	8.3219	9.6402	9.5661	9.3376	9.7944	7.6294	10.6366	9.4737	7.8329	9.8154	9.3038	7.6865	9.0607	9.1724	9.6129	10.4727	8.8857	10.3608	9.6847	6.9307	7.9009	7.098	8.2992	8.7211	11.0694	8.5236	8.4051	9.1898	9.7616	7.1189	11.7944	7.9425	9.388	8.7039	7.4512	9.2738	8.8202	10.3219	9.4221	10.1111	8.4717	10.0307	9.4367	9.7532	10.3576	11.4564	7.1898	7.9189	8.6036	10.1254	7.4757	7.4512	8.9189	9.4305	9.445	8.4388	10.9737	8.9069	7.2668	9.7194	7.2479	8.7549	8.9278	8.697	10.3049	7.8765	9.6707	10.5699	10.4336	9.8138	9.3354	9.5333	9.0553	8.8765	10.098	9.4491	10.1306	10.5699	8.4998	9.6475	6.4757	8.6439	9.0362	9.683	10.255	9.4409	8.1241	8.9915	9.2167	8.7245	8.3837	8.5314	9.4574	8.6724	9.1163	8.0224	9.5038	7.9715	10.4231	8.7912	8.5887	10.9315	8.8361	9.2597	8.098	9.1997
AAMDC	28971	8.2715	7.1699	7.9542	8.5353	7.6653	7.6935	8.1898	7.7944	8.1749	7.585	6.585	8.4757	7.9248	7.2192	7.1799	7.0224	7.7748	6.9425	8.098	9.2527	9.4388	8.8642	8.0056	7.3399	8.3619	8.1749	7.0661	6.0875	7.1898	9.1599	7.7682	8.0498	7.8329	8.2854	8.6257	8.0112	8.1085	7.7279	8.2479	7.7814	8.2288	8.2384	7.8138	8.3487	8.6724	8.1497	8.0112	8.4553	8.0821	8.1189	7.8887	8.2384	7.9009	7.7415	7.9248	7.7347	7.2288	7.9944	8.8673	8.4388	7.4179	8.7549	7.7142	8.4429	8.3443	8.1396	8.3219	8.8796	7.5774	7.1497	7.8455	7.5774	7.0875	8.4263	8.1497	8.0168	8.0821	8.1548	8.0112	8.5887	8.2336	6.4919	8.0928	8.1085	8.2668	8.2946	9.0362	6.7004	8.4757	7.3038	7.858	8.2288	8.5275	8.2574	8.4305	8.5999	8.4429	9.0389	8.0553	8.2621	8.7245	8.098	8.5038	7.9129	9.5641	8.5353
AAMP	14	11.294	11.599	11.2533	10.8665	11.5929	11.5083	11.9473	11.5994	11.6271	10.6961	11.4035	11.0566	11.4964	11.6357	11.1892	11.5343	11.7078	10.7004	11.6684	11.796	11.5821	11.3971	11.1762	11.7989	11.891	11.809	11.3869	11.7607	11.9524	11.7785	11.3493	11.3987	11.5275	11.849	11.5073	11.6978	11.5353	11.9285	11.0875	11.1624	11.8727	11.0375	11.7928	11.6466	11.6555	11.4671	11.2946	11.1706	11.5425	11.4357	10.9039	11.2998	11.6693	11.1039	11.3264	11.7636	11.0498	11.2378	11.6569	11.3399	10.4378	11.5934	11.0382	11.6843	11.224	10.9751	11.4615	11.4289	11.6497	11.2131	11.6055	10.8074	11.5985	11.4221	11.6693	11.7545	11.1886	11.5231	11.1222	11.6393	10.5641	10.8463	11.3309	11.6119	11.4409	11.6371	12.1712	11.825	11.4964	11.7013	11.757	11.5675	11.5479	11.1749	11.4268	11.8214	10.7707	11.6221	11.6707	11.1755	11.1459	11.5333	11.6239	11.0293	11.0868	11.2975
AAR2	25980	10.0661	10.9809	9.9915	9.7764	10.224	9.9381	11.5565	10.6537	10.0715	10.5206	8.9858	10.7863	10.0458	9.7211	10.6591	10.4878	9.5527	9.8564	10.7532	10.8933	11.3526	10.3565	10.0458	11.0861	10.9031	9.809	9.8313	9.858	9.2808	11.3354	10.2348	10.2252	10.374	10.1523	10.1306	10.5314	11.0437	11.0077	10.7406	10.3608	10.5755	10.8297	10.4828	10.2143	10.5421	11.2076	10.1624	11.0934	11.3939	9.4959	9.3772	10.7465	10.9046	9.3772	10.6303	10.236	9.8313	10.7432	10.6266	10.567	9.6653	9.7074	9.7781	10.0098	10.8642	10.1812	10.4115	10.8447	10.3554	10.6092	10.8941	10.0848	9.4635	10.5699	11.115	11.5435	10.6248	10.3465	9.5216	11.3982	10.0485	9.2384	9.7863	11.0526	10.9922	9.7415	11.2784	9.4818	10.6891	9.8486	10.7764	10.7797	10.7887	11.2773	10.374	10.3454	10.0403	10.1573	10.5372	10.1812	10.7566	10.8106	10.7582	10.0848	11.2252	10.3923
AARS	16	10.9701	11.3712	11.2282	10.374	11.6083	10.5275	11.1886	11.0251	11.224	11.3772	11.7406	10.9454	11.2456	11.352	11.3767	11.6839	11.6239	12.0172	11.327	10.1849	10.268	10.2515	10.6582	11.9103	11.3134	11.4944	11.2052	11.7022	12.5641	11.5324	11.544	11.0389	11.2877	12.0961	11.0272	11.8997	10.9166	11.2438	11.6069	11.3393	10.4242	11.4019	12.3658	11.2396	11.6834	10.7202	10.3264	11.2444	11.7711	10.5333	10.9944	11.4878	11.8005	11.4062	12.1808	11.4584	11.9866	11.8525	11.2644	11.5831	11.1948	10.9218	11.0147	11.5401	11.2574	10.9972	11.8078	11.6316	11.4126	11.891	12.0765	11.2107	11.568	11.2709	11.2883	11.87	11.7317	10.9571	11.0334	11.4803	10.4808	11.633	11.0815	11.1892	11.3658	11.3509	10.7977	11.8653	10.774	11.9908	11.825	10.8556	11.4136	11.6839	11.525	11.0566	11.1267	10.5859	11.188	11.5362	10.5196	11.3426	11.6684	11.0782	10.8842	11.0546
AARS2	57505	8.1548	9.2264	8.3966	8.2095	9.3794	8.5887	8.6935	8.7582	8.9571	8.3487	9.058	7.8202	8.8424	8.7814	8.9972	9.3641	8.5038	8.9801	9.2167	7.7004	8.1898	7.8202	7.7415	8.7781	8.3966	8.7944	8.8455	8.7944	9.403	7.9425	9.1007	8.69	8.6865	9.3531	8.7313	8.7879	8.0389	8.388	8.3794	8.6257	7.8455	8.3354	8.6402	8.7912	8.7582	8.1749	8.1599	8.2715	8.5078	8.7515	8.7245	7.9715	9.3287	9.2715	8.683	8.9099	9.5661	8.585	8.5469	8.69	8.2384	8.5661	8.9218	8.7074	8.7715	8.8361	8.8642	9.6865	9.4325	9.4838	9.5661	8.4998	9.0334	8.4136	9.0901	9.6294	9.2946	8.4094	8.9658	9.6724	8.2808	8.8074	8.6546	8.9887	8.3837	9.2574	8.1599	9.683	8.1997	9.255	8.7582	8.5392	8.0056	9.2216	8.7381	8.0279	8.1997	8.0928	8.9658	7.5622	8.1948	9.3945	8.0928	8.3309	8.3443	8.9744
AARSD1	80755	8.6221	9.7599	8.9337	8.3707	8.6184	9.8564	10.0293	8.9687	9.6348	8.4594	8.7074	9.9614	8.8978	9.1007	9.1111	8.7381	9.3015	8.8978	9.5999	10.1472	9.7347	10.0634	9.3015	9.375	8.4757	8.7616	9.4471	9.255	8.8486	9.2597	8.4346	9.5793	8.9009	10.1215	9.9744	8.9337	9.4263	9.3399	9.0389	8.9366	9.545	9.0417	8.4998	8.5157	8.69	9.5699	9.3174	9.2691	9.3576	8.5469	9.0607	8.9658	9.2336	8.2336	8.5392	9.1923	7.96	8.7347	9.4115	9.1085	9.1033	7.9129	9.2384	9.6147	8.8978	9.0553	8.5507	8.5622	8.5275	8.6689	9.058	8.4263	8.9129	8.9009	9.0526	9.1997	8.1241	8.5661	9.3129	8.8074	9.5294	8.8202	8.9629	8.3083	9.0634	8.8041	9.7074	8.7108	9.3576	8.6402	8.8978	9.0056	9.2143	8.9337	8.7381	9.3219	8.7245	9.5999	8.9887	8.9887	9.4009	8.8424	8.2854	8.983	10.3815	8.8734
AASDH	132949	8.7781	8.7781	9.2761	8.7649	8.4429	7.8765	9.014	8.5275	8.8673	8.2574	8.375	9.6865	8.6402	8.1241	8.3837	8.5661	8.4009	8.0661	8.1749	9.3576	9.3487	9.9484	8.9629	8.3837	8.7448	9.0848	8.8138	8.3264	7.5469	8.9366	8.5118	9.1421	8.6475	8.8361	8.9773	8.611	8.5812	8.6724	8.4676	9.2479	9.3945	9.0028	8.7313	7.8642	8.6546	9.0875	8.9129	9.2877	8.5353	8.7846	9.1421	8.7415	8.7715	8.2192	8.9099	8.7347	8.2946	8.1447	9.5294	8.6689	9.6129	8.1344	8.5157	8.8517	9.1085	9.7731	8.7313	8.2992	8.6935	8.0553	8.7177	7.8074	9.1189	8.9039	9.2668	8.5546	8.8009	8.4998	8.2668	8.9744	9.7616	8.8765	9.0848	8.3129	8.6935	8.4346	9.5333	8.611	8.7415	8.1447	7.8948	8.8918	8.7177	8.7347	8.4512	9.1319	8.9337	9.2479	9.2574	9.0715	8.3309	8.7781	8.7616	8.6935	8.5584	8.0553
AASDHPPT	60496	10.1059	10.2033	10.007	9.5333	9.983	9.9901	10.5177	9.8978	10.0042	9.7108	9.6018	10.3608	9.9233	9.9039	9.5943	9.7465	10.4594	9.9672	9.783	10.9352	10.8517	10.865	10.3998	9.7482	9.7863	9.9643	10.1124	10.1599	9.944	10.421	9.9643	10.3399	9.6865	9.8564	9.9958	9.7499	10.0661	9.9887	10.2854	10.2252	10.623	9.5038	10.2372	9.5812	10.363	9.973	10.3912	10.5294	9.8673	9.3443	10.4909	10.2668	10.0553	9.0768	9.7296	9.8281	9.5718	9.6528	10.2738	10.0238	10.5793	9.5943	9.7364	10.0471	10.4242	10.2761	9.3465	9.5981	9.5622	9.0498	9.8811	9.2574	9.9337	10.1636	10.255	9.9498	10.1007	9.8455	10.2726	10.4252	10.7288	9.4471	10.137	10.0634	9.9322	10.0701	10.5275	9.6742	9.7616	8.9887	10.0471	9.9972	10.3955	9.8704	9.7665	10.1687	10.1836	10.2668	10.2946	10.6883	9.6777	10.4429	10.29	10.1687	10.3848	9.7764
AASS	10157	7.2574	7.3487	9.4858	9.5774	6.9887	6.5392	7.8455	7.0553	8.5925	9.6511	8.1749	7.0334	9.5118	8.6582	7.5469	7.7549	8.3219	8.8329	8.543	7.1699	8.3129	7.2192	7.9248	8.6618	8.7039	8.0498	7.6653	8.9687	8.69	8.1849	6.8826	8.4635	7.2854	5.9542	7.8887	7.4429	8.0498	8.3174	8.9744	8.6475	7.0661	7.7482	8.8361	7.6147	9.3576	7.1085	6.8704	8.4009	8.3837	7.6073	8.6184	7.2854	7.7004	7.6935	9.1497	8.7616	8.7448	7.7682	7.1396	7.7682	7.7074	7.2574	8.8486	9.9715	7.9009	5.8826	8.3707	8.2621	7.7482	9.2479	8.3443	8.7004	8.676	8.1997	7.4594	8.3354	8.5236	8.1898	8.6724	7.6073	7.1085	7.5774	7.9658	8.3794	9.2046	7.9425	6	6.5546	7.2946	8.7448	8.224	8.2527	8.0112	8.2432	9.224	7.1699	8.7074	8.4346	6.4094	8.5661	8.1085	7.3837	7.7482	9.1267	8.0498	8.611
AATF	26574	9.8657	11.1749	10.1007	10.2491	10.6821	10.2597	10.9076	10.445	10.1774	10.1228	10.633	10.1724	10.4136	10.6375	10.7004	10.8305	10.774	10.633	10.9174	10.6573	10.611	9.9293	10.2348	11.1376	10.5536	10.3652	10.3095	10.9787	11.0661	10.6751	10.6348	10.2456	10.9773	10.5411	10.2119	10.668	10.0875	10.6366	10.6874	10.5622	10.0042	10.7022	10.444	10.7099	10.196	10.7271	9.5699	10.1911	10.5507	9.8781	10.3298	10.1137	10.6193	10.7056	10.7305	10.4252	9.6707	10.0835	10.3761	10.3276	9.6165	9.3531	10.0835	10.4959	10.0914	9.8234	10.6312	10.567	10.4168	10.7262	11.021	10.3106	10.4189	10.6883	10.4969	10.8138	10.5868	9.8074	9.8154	10.2633	9.8424	9.8811	10.3129	10.6733	10.5831	10.6519	11.2282	10.5488	10.9873	10.5859	10.6484	10.236	10.446	11.2438	10.1072	9.8857	10.1007	10.1548	10.4157	10.7134	10.2503	10.2889	10.1636	9.9263	10.1472	9.5196
ABALON	103021294	5.6439	5.7549	5.1293	5.9307	5	4.5236	6.0444	5.4263	4.4594	6.5236	6.5236	5.4594	4.858	5.7004	6	6.8455	7.3309	5.4594	5.9773	6.1898	5.8329	5.8329	7.0875	5.6439	6.1699	4.9542	5.2854	8.5812	6.7682	6.8704	6.8704	6.6582	6.5999	5	5.8074	5.9542	5.3923	7.098	6	6.8948	5.3923	6.2668	6.0224	5.7549	5.3576	6.4094	6.5392	7	7.1293	5.0444	7.1293	6.585	6.6865	5.3219	7.5925	5.1293	6.2288	6.2479	6.2288	4.9542	5.5236	5.3576	5.4919	4.5236	5.2479	5.5546	5.2095	6.8329	6.4263	6.7814	5.3576	5.5546	6.1497	5.858	6.7142	6.3923	6.6294	5.9773	4.7549	6.2854	6.2288	4.858	5.8826	6.2668	6.6724	5.3219	6.8074	5.6147	5.6147	4.3923	5.7279	6.1085	6.1898	7.2854	5.2854	4.5236	5.9307	5.3219	5.7549	5.9069	6.375	5.9069	5.5546	7.3663	6	5.585
ABAT	18	7.9248	9.3487	8.5314	9.4429	9.0795	6.9307	9.4115	8.8106	6.375	10.352	8.1085	9.4179	8.611	6.5699	8.5774	8	6.9307	9.5118	9.3966	8.2479	8.5546	6.7549	7.2574	9.5755	10.5226	6.375	8.098	5.8329	6.8202	8.1189	9.7039	7.4009	7.8948	6.585	7.0224	8.5353	9.6294	10.1459	9.2095	9.5507	8.7448	11.5675	7.8009	9.1948	9.8765	8.7549	7.2095	9.611	9.8502	8.1948	6.585	9.4574	10.3465	6.9189	9.5925	7.7279	9.3597	10.007	9.0526	8.8138	7.1293	8.2946	9.0821	7.3309	10.6221	8.1799	9.1997	9.3083	7.3219	8.5236	7.4919	9.3707	7.1085	7.5699	9.4512	10.1935	9.0056	9.0417	6.0224	8.4305	6.585	7.6366	6.4757	9.4553	10.2119	10.3117	7.3219	7.0112	8.1898	7.4346	10.1636	10.4512	10.2515	9.7039	9.9701	6.4094	7.9009	7.6582	5.9069	8.5812	8.5157	8.633	9.3576	8.5392	8.4757	7.5469
ABCA1	19	9.2946	8.3264	10.7091	9.5641	10.7482	8.8611	8.29	9.2167	8.2432	11.4094	10.0389	9.4051	10.5098	10.9069	9.2738	9.3531	9.7797	10.1111	8.224	9.7863	8.8918	9.5118	9.9069	9.6636	10.733	10.2866	8.8673	9.3219	9.4898	8.9189	8.1548	9.8122	9.9084	6.858	8.3707	8.5157	10.115	10.0566	10.5157	9.8611	8.9658	10.0821	8.611	10.1836	9.8796	9.098	9.2621	8.7748	8.9687	9.7482	9.1033	9.1624	9.8765	11.117	10.3987	9.9144	10.9972	10.7499	8.676	10.7515	8.8948	9.9498	11.0375	9.8517	10.2348	9.9469	9.8564	9.3038	10.3376	10.4126	9.8549	10.6339	10.4645	10.421	9.7245	10.2082	10.1383	10.0417	9.8842	9.9218	9.5275	9.8424	10.6528	10.0389	10.29	9.4533	8.3619	10.1762	8.8796	9.8154	9.7944	9.6402	9.9915	9.5275	9.4959	9.0334	10.6083	10.5382	9.3837	9.4717	9.6689	8.9218	10.1137	11.0231	10.1762	10.5401
ABCA11P	79963	7.6724	7.8642	7.4094	7.6147	7.4094	7.5392	8.1599	6.5999	7.6073	7.375	7.3309	7.9542	7.8074	6.6865	6.8704	7.3576	7.3219	8.2668	7.5469	7.2854	8.0661	8.3531	7.098	7.8704	7.5078	8.0498	8.1085	7.4919	6.1085	7.2668	7.7211	8.388	7.3576	8.0661	7.7347	7.9944	7.1396	8.1749	7.8202	7.9715	8.1699	8.1898	7.5622	7.3038	7.858	7.7814	7.7347	8.1849	7.8642	7.0768	8.1137	6.9887	6.9658	6.7142	7.9307	7.3837	6.9773	8.0334	8.2854	7.5999	8.3923	7.3219	7.1898	7.2574	7.9009	8.0498	7.4512	6.8329	7.3129	6.8202	7.9009	6.8948	6.1898	7.3576	7.983	7.9484	7.6511	7.3663	7.5236	7.7347	7.3129	6.6147	6.7549	7.7074	7.6795	7.3309	8.1548	7.0553	7.4998	7.7482	7	8.3083	7.5314	7.7482	7.9366	7.9248	7.0112	7.7748	7.1898	7.2288	7.5157	6.6439	7.7814	7.3309	7.4512	7.2384
ABCA2	20	8.6036	10.6393	8.2715	10.3276	10.3498	8.8424	8.69	10.4868	10.032	10.0154	10.5196	7.6582	10.0417	9.2644	10.2527	10.1624	9.3443	10.2252	8.9159	6.3576	7.3038	5.9542	7.3487	7.6147	10.9189	10.2597	9.6528	10.062	10.3805	7.2479	8.7347	9.4838	9.8122	8.5622	8.7039	9.9773	9.0056	9.8887	8.0444	9.7415	8.3707	9.4136	9.4305	10.9263	8.7715	9.4919	8.3219	9.0196	8.697	10.6475	8.5812	8.3038	10.5736	10.9189	10.1459	9.7549	10.3332	9.4073	8.5078	10.4471	6.4429	9.7566	9.0661	8.8642	9.6129	9.5294	10.4357	10.5275	10.6193	9.6618	10	9.7912	9.8138	8.9715	9.3219	9.8626	10.0265	10.5479	9.5641	9.7764	7.2095	10.0307	10.2715	10.5878	9.6366	10.0634	8.0444	10.545	8.1948	9.5275	10.2854	10.29	9.4979	9.4263	10.0293	9.5314	9.5236	8.2946	10.5098	9.0307	7.9248	9.1111	9.7313	9.3332	6.8948	9.5411
